Bridge Density by Municipality:
County, Municipality, Number of Bridges
Queens, New York (City), 477
Bronx, New York (City), 315
New York, New York (City), 243
Kings, New York (City), 236
Richmond, New York (City), 157
Nassau, Hempstead (Town), 145
Erie, Buffalo (City), 142
Albany, Albany (City), 122
Onondaga, Syracuse (City), 118
Suffolk, Islip (Town), 100
Westchester, Yonkers (City), 100
Monroe, Rochester (City), 97
Suffolk, Brookhaven (Town), 91
Erie, Amherst (Town), 90
Delaware, Hancock (Town), 75
Monroe, Greece (Town), 73
Nassau, Oyster Bay (Town), 70
Ulster, Shandaken (Town), 65
Oneida, Utica (City), 61
Sullivan, Rockland (Town), 61
Rensselaer, Schodack (Town), 60
Delaware, Colchester (Town), 58
Monroe, Brighton (Town), 58
Rockland, Clarkstown (Town), 57
Erie, Cheektowaga (Town), 56
Erie, Orchard Park (Town), 55
Niagara, Niagara Falls (City), 55
Rockland, Orangetown (Town), 55
Sullivan, Liberty (Town), 54
Monroe, Gates (Town), 53
Westchester, Mount Pleasant (Town), 53
Broome, Kirkwood (Town), 51
Oneida, Rome (City), 50
Broome, Vestal (Town), 49
Onondaga, De Witt (Town), 49
Orange, Wallkill (Town), 49
Steuben, Avoca (Town), 49
Steuben, Bath (Town), 49
Oneida, Verona (Town), 47
Schenectady, Rotterdam (Town), 47
Erie, West Seneca (Town), 46
Westchester, White Plains (City), 46
Westchester, Greenburgh (Town), 45
Broome, Colesville (Town), 44
Columbia, Chatham (Town), 44
Jefferson, Ellisburg (Town), 43
Orange, Newburgh (Town), 43
Steuben, Campbell (Town), 42
Westchester, Bedford (Town), 42
Delaware, Middletown (Town), 40
Tioga, Owego (Town), 40
Chemung, Chemung (Town), 39
Westchester, Harrison (Village), 38
Chemung, Big Flats (Town), 37
Dutchess, East Fishkill (Town), 37
Essex, Keene (Town), 37
Putnam, Southeast (Town), 37
Suffolk, Babylon (Town), 37
Sullivan, Neversink (Town), 37
Westchester, Yorktown (Town), 37
Erie, Hamburg (Town), 36
Steuben, Hornellsville (Town), 36
Westchester, Mount Vernon (City), 36
Albany, Colonie (Town), 35
Steuben, Erwin (Town), 35
Sullivan, Thompson (Town), 35
Broome, Binghamton (City), 34
Broome, Union (Town), 34
Chautauqua, Ellery (Town), 34
Warren, Johnsburg (Town), 34
Broome, Windsor (Town), 33
Erie, Evans (Town), 33
Greene, Catskill (Town), 33
Ulster, Rochester (Town), 33
Dutchess, Poughkeepsie (City), 32
Erie, Lancaster (Town), 32
Monroe, Henrietta (Town), 32
Montgomery, Amsterdam (City), 32
Orleans, Carlton (Town), 32
Ulster, Wawarsing (Town), 32
Westchester, Rye (City), 32
Albany, Bethlehem (Town), 31
Broome, Chenango (Town), 31
Chautauqua, Poland (Town), 31
Erie, Tonawanda (Town), 31
Madison, Sullivan (Town), 31
Onondaga, Geddes (Town), 31
Tioga, Nichols (Town), 31
Chautauqua, Hanover (Town), 30
Chemung, Horseheads (Town), 30
Erie, Clarence (Town), 30
Monroe, Chili (Town), 30
Orange, Wawayanda (Town), 30
Suffolk, Huntington (Town), 30
Sullivan, Mamakating (Town), 30
Tompkins, Ithaca (City), 30
Cattaraugus, Hinsdale (Town), 29
Chautauqua, Ellicott (Town), 29
Greene, Hunter (Town), 29
Herkimer, Frankfort (Town), 29
Onondaga, Manlius (Town), 29
Ulster, Ulster (Town), 29
Chautauqua, North Harmony (Town), 28
Delaware, Sidney (Town), 28
Schuyler, Hector (Town), 28
Steuben, Lindley (Town), 28
Suffolk, Smithtown (Town), 28
Suffolk, Southampton (Town), 28
Tioga, Barton (Town), 28
Ulster, Woodstock (Town), 28
Albany, Guilderland (Town), 27
Cattaraugus, Allegany (Town), 27
Erie, Concord (Town), 27
Westchester, New Rochelle (City), 27
Cortland, Cortlandville (Town), 26
Erie, Elma (Town), 26
Monroe, Webster (Town), 26
Oneida, Marcy (Town), 26
Onondaga, Salina (Town), 26
Ulster, Saugerties (Town), 26
Broome, Sanford (Town), 25
Cattaraugus, Coldspring (Town), 25
Herkimer, Schuyler (Town), 25
Niagara, Porter (Town), 25
Oneida, Trenton (Town), 25
Orange, Deerpark (Town), 25
Schoharie, Richmondville (Town), 25
St Lawrence, Stockholm (Town), 25
Tompkins, Dryden (Town), 25
Albany, Rensselaerville (Town), 24
Chautauqua, Pomfret (Town), 24
Chautauqua, Stockton (Town), 24
Chemung, Southport (Town), 24
Chenango, Greene (Town), 24
Clinton, Mooers (Town), 24
Clinton, Plattsburgh (Town), 24
Dutchess, La Grange (Town), 24
Erie, Aurora (Town), 24
Essex, Lewis (Town), 24
Greene, Durham (Town), 24
Monroe, Hamlin (Town), 24
Monroe, Perinton (Town), 24
Montgomery, Minden (Town), 24
Niagara, Lewiston (Town), 24
Ontario, Phelps (Town), 24
Orange, Blooming Grove (Town), 24
Orange, Woodbury (Town), 24
Otsego, Worcester (Town), 24
Steuben, Canisteo (Town), 24
St Lawrence, Potsdam (Town), 24
Westchester, Cortlandt (Town), 24
Westchester, Mamaroneck (Village), 24
Chautauqua, Ellington (Town), 23
Columbia, Claverack (Town), 23
Niagara, Royalton (Town), 23
Oneida, Boonville (Town), 23
Onondaga, Cicero (Town), 23
Ontario, Victor (Town), 23
Orange, Montgomery (Town), 23
Orange, Warwick (Town), 23
Queens, , 23
Sullivan, Fallsburg (Town), 23
Tioga, Candor (Town), 23
Albany, Coeymans (Town), 22
Cattaraugus, Leon (Town), 22
Chautauqua, Busti (Town), 22
Chautauqua, Chautauqua (Town), 22
Chautauqua, Portland (Town), 22
Chemung, Veteran (Town), 22
Greene, Cairo (Town), 22
Greene, Lexington (Town), 22
Oswego, Hastings (Town), 22
Rockland, Ramapo (Town), 22
Rockland, Stony Point (Town), 22
Saratoga, , 22
