Statistics by Municipality:
Albany (City): Total: 122, Poor: 2, Percentage: 1.64%
Berne (Town): Total: 16, Poor: 1, Percentage: 6.25%
Bethlehem (Town): Total: 31, Poor: 2, Percentage: 6.45%
Coeymans (Town): Total: 22, Poor: 4, Percentage: 18.18%
Cohoes (City): Total: 6, Poor: 0, Percentage: 0.00%
Colonie (Town): Total: 35, Poor: 3, Percentage: 8.57%
Colonie (Village): Total: 3, Poor: 0, Percentage: 0.00%
Green Island (Village): Total: 6, Poor: 0, Percentage: 0.00%
Guilderland (Town): Total: 27, Poor: 2, Percentage: 7.41%
Knox (Town): Total: 6, Poor: 1, Percentage: 16.67%
Menands (Village): Total: 8, Poor: 1, Percentage: 12.50%
New Scotland (Town): Total: 15, Poor: 1, Percentage: 6.67%
Ravena (Village): Total: 1, Poor: 0, Percentage: 0.00%
Rensselaerville (Town): Total: 24, Poor: 2, Percentage: 8.33%
Schodack (Town): Total: 61, Poor: 3, Percentage: 4.92%
Voorheesville (Village): Total: 3, Poor: 0, Percentage: 0.00%
Watervliet (City): Total: 4, Poor: 0, Percentage: 0.00%
Westerlo (Town): Total: 12, Poor: 0, Percentage: 0.00%
: Total: 187, Poor: 5, Percentage: 2.67%
Alfred (Town): Total: 9, Poor: 1, Percentage: 11.11%
Alfred (Village): Total: 4, Poor: 2, Percentage: 50.00%
Allen (Town): Total: 6, Poor: 0, Percentage: 0.00%
Alma (Town): Total: 4, Poor: 0, Percentage: 0.00%
Almond (Town): Total: 19, Poor: 4, Percentage: 21.05%
Almond (Village): Total: 5, Poor: 0, Percentage: 0.00%
Amity (Town): Total: 16, Poor: 2, Percentage: 12.50%
Andover (Town): Total: 15, Poor: 0, Percentage: 0.00%
Andover (Village): Total: 7, Poor: 1, Percentage: 14.29%
Angelica (Town): Total: 17, Poor: 2, Percentage: 11.76%
Angelica (Village): Total: 9, Poor: 3, Percentage: 33.33%
Belfast (Town): Total: 14, Poor: 2, Percentage: 14.29%
Belmont (Village): Total: 5, Poor: 1, Percentage: 20.00%
Birdsall (Town): Total: 10, Poor: 0, Percentage: 0.00%
Bolivar (Town): Total: 4, Poor: 1, Percentage: 25.00%
Bolivar (Village): Total: 5, Poor: 0, Percentage: 0.00%
Burns (Town): Total: 13, Poor: 1, Percentage: 7.69%
Canaseraga (Village): Total: 3, Poor: 0, Percentage: 0.00%
Caneadea (Town): Total: 10, Poor: 1, Percentage: 10.00%
Centerville (Town): Total: 9, Poor: 1, Percentage: 11.11%
Clarksville (Town): Total: 6, Poor: 0, Percentage: 0.00%
Cuba (Town): Total: 19, Poor: 0, Percentage: 0.00%
Cuba (Village): Total: 10, Poor: 1, Percentage: 10.00%
Friendship (Town): Total: 19, Poor: 0, Percentage: 0.00%
Genesee (Town): Total: 8, Poor: 0, Percentage: 0.00%
Granger (Town): Total: 6, Poor: 0, Percentage: 0.00%
Grove (Town): Total: 5, Poor: 0, Percentage: 0.00%
Hume (Town): Total: 17, Poor: 3, Percentage: 17.65%
Independence (Town): Total: 13, Poor: 2, Percentage: 15.38%
New Hudson (Town): Total: 7, Poor: 0, Percentage: 0.00%
Richburg (Village): Total: 3, Poor: 1, Percentage: 33.33%
Rushford (Town): Total: 17, Poor: 0, Percentage: 0.00%
Scio (Town): Total: 19, Poor: 0, Percentage: 0.00%
Ward (Town): Total: 13, Poor: 1, Percentage: 7.69%
Wellsville (Town): Total: 13, Poor: 2, Percentage: 15.38%
Wellsville (Village): Total: 8, Poor: 0, Percentage: 0.00%
West Almond (Town): Total: 12, Poor: 0, Percentage: 0.00%
Willing (Town): Total: 16, Poor: 2, Percentage: 12.50%
Wirt (Town): Total: 6, Poor: 1, Percentage: 16.67%
New York (City): Total: 1428, Poor: 105, Percentage: 7.35%
Barker (Town): Total: 15, Poor: 0, Percentage: 0.00%
Binghamton (City): Total: 34, Poor: 0, Percentage: 0.00%
Binghamton (Town): Total: 12, Poor: 0, Percentage: 0.00%
Chenango (Town): Total: 31, Poor: 3, Percentage: 9.68%
Colesville (Town): Total: 44, Poor: 1, Percentage: 2.27%
Conklin (Town): Total: 14, Poor: 1, Percentage: 7.14%
Deposit (Village): Total: 4, Poor: 0, Percentage: 0.00%
Dickinson (Town): Total: 9, Poor: 1, Percentage: 11.11%
Endicott (Village): Total: 3, Poor: 0, Percentage: 0.00%
Fenton (Town): Total: 17, Poor: 2, Percentage: 11.76%
Johnson City (Village): Total: 19, Poor: 0, Percentage: 0.00%
Kirkwood (Town): Total: 51, Poor: 1, Percentage: 1.96%
Lisle (Town): Total: 14, Poor: 1, Percentage: 7.14%
Lisle (Village): Total: 2, Poor: 0, Percentage: 0.00%
Maine (Town): Total: 17, Poor: 1, Percentage: 5.88%
Nanticoke (Town): Total: 7, Poor: 0, Percentage: 0.00%
Port Dickinson (Village): Total: 4, Poor: 0, Percentage: 0.00%
Sanford (Town): Total: 25, Poor: 2, Percentage: 8.00%
Triangle (Town): Total: 10, Poor: 1, Percentage: 10.00%
Union (Town): Total: 34, Poor: 0, Percentage: 0.00%
Vestal (Town): Total: 49, Poor: 3, Percentage: 6.12%
