Bridges by Year Built/Replaced:
1800: Total: 1, Poor: 0, Percentage: 0.00%
1825: Total: 1, Poor: 0, Percentage: 0.00%
1842: Total: 1, Poor: 0, Percentage: 0.00%
1850: Total: 4, Poor: 0, Percentage: 0.00%
1853: Total: 2, Poor: 0, Percentage: 0.00%
1856: Total: 1, Poor: 0, Percentage: 0.00%
1857: Total: 1, Poor: 0, Percentage: 0.00%
1858: Total: 1, Poor: 0, Percentage: 0.00%
1860: Total: 5, Poor: 0, Percentage: 0.00%
1861: Total: 1, Poor: 1, Percentage: 100.00%
1862: Total: 4, Poor: 0, Percentage: 0.00%
1865: Total: 4, Poor: 0, Percentage: 0.00%
1869: Total: 1, Poor: 0, Percentage: 0.00%
1870: Total: 6, Poor: 2, Percentage: 33.33%
1872: Total: 1, Poor: 0, Percentage: 0.00%
1873: Total: 1, Poor: 0, Percentage: 0.00%
1874: Total: 2, Poor: 0, Percentage: 0.00%
1875: Total: 4, Poor: 0, Percentage: 0.00%
1878: Total: 3, Poor: 3, Percentage: 100.00%
1880: Total: 10, Poor: 0, Percentage: 0.00%
1882: Total: 3, Poor: 0, Percentage: 0.00%
1883: Total: 3, Poor: 2, Percentage: 66.67%
1884: Total: 2, Poor: 1, Percentage: 50.00%
1885: Total: 4, Poor: 1, Percentage: 25.00%
1886: Total: 6, Poor: 1, Percentage: 16.67%
1887: Total: 5, Poor: 4, Percentage: 80.00%
1888: Total: 6, Poor: 0, Percentage: 0.00%
1889: Total: 18, Poor: 3, Percentage: 16.67%
1890: Total: 15, Poor: 4, Percentage: 26.67%
1891: Total: 4, Poor: 2, Percentage: 50.00%
1892: Total: 3, Poor: 0, Percentage: 0.00%
1893: Total: 6, Poor: 2, Percentage: 33.33%
1894: Total: 7, Poor: 3, Percentage: 42.86%
1895: Total: 10, Poor: 2, Percentage: 20.00%
1896: Total: 6, Poor: 1, Percentage: 16.67%
1897: Total: 10, Poor: 3, Percentage: 30.00%
1898: Total: 5, Poor: 1, Percentage: 20.00%
1899: Total: 7, Poor: 4, Percentage: 57.14%
1900: Total: 83, Poor: 23, Percentage: 27.71%
1901: Total: 11, Poor: 2, Percentage: 18.18%
1902: Total: 8, Poor: 7, Percentage: 87.50%
1903: Total: 5, Poor: 1, Percentage: 20.00%
1904: Total: 12, Poor: 1, Percentage: 8.33%
1905: Total: 16, Poor: 3, Percentage: 18.75%
1906: Total: 28, Poor: 2, Percentage: 7.14%
1907: Total: 26, Poor: 9, Percentage: 34.62%
1908: Total: 31, Poor: 7, Percentage: 22.58%
1909: Total: 43, Poor: 9, Percentage: 20.93%
1910: Total: 67, Poor: 16, Percentage: 23.88%
