Distribution of Last Inspection Dates (Year-Month):
Year-Month, Number of Inspections
1991-01, 3
1991-02, 1
1993-05, 3
2010-07, 1
2014-09, 1
2014-10, 1
2015-04, 1
2016-05, 1
2016-08, 2
2017-03, 2
2017-04, 9
2017-05, 6
2017-06, 17
2017-07, 14
2017-08, 20
2017-09, 26
2017-10, 41
2017-11, 55
2017-12, 19
2018-01, 172
2018-02, 162
2018-03, 221
2018-04, 814
2018-05, 1031
2018-06, 899
2018-07, 853
2018-08, 1021
2018-09, 915
2018-10, 1094
2018-11, 835
2018-12, 301
2019-01, 17
2019-02, 75
2019-03, 386
2019-04, 1211
2019-05, 1243
2019-06, 1048
2019-07, 1073
2019-08, 1113
2019-09, 908
2019-10, 1096
2019-11, 654
2019-12, 166
2020-01, 1
