Bridge Inspection Overdue Analysis:
BIN, Last Inspection, Days Since Inspection, Overdue (24 months), Overdue (48 months), Poor Condition
1015980, 2019-10-01, 142, N, N, Y
1025320, 2018-08-31, 538, N, N, N
1025310, 2019-10-30, 113, N, N, N
1053380, 2018-08-07, 562, N, N, N
1049669, 2018-09-12, 526, N, N, N
1022479, 2018-06-11, 619, N, N, N
1092992, 2019-12-05, 77, N, N, N
1092991, 2019-11-09, 103, N, N, N
1092951, 2019-08-01, 203, N, N, N
1092952, 2019-08-01, 203, N, N, N
1092882, 2018-12-20, 427, N, N, N
1092881, 2018-12-20, 427, N, N, N
1092970, 2019-12-10, 72, N, N, N
109299B, 2019-12-14, 68, N, N, N
109299A, 2017-10-05, 868, Y, N, N
1060320, 2018-08-07, 562, N, N, N
1034492, 2018-09-12, 526, N, N, N
1034491, 2018-09-12, 526, N, N, N
1033101, 2019-05-17, 279, N, N, N
1033102, 2019-05-17, 279, N, N, N
1033112, 2019-04-09, 317, N, N, N
1033111, 2019-04-09, 317, N, N, N
1073530, 2019-10-07, 136, N, N, N
5513561, 2019-04-17, 309, N, N, N
5513570, 2019-07-17, 218, N, N, N
5513599, 2018-08-07, 562, N, N, N
5513549, 2018-12-12, 435, N, N, N
5513550, 2019-11-05, 107, N, N, N
5513562, 2019-04-17, 309, N, N, N
1073560, 2019-09-19, 154, N, N, N
1034479, 2019-05-13, 283, N, N, N
1034519, 2019-05-09, 287, N, N, N
1078661, 2018-12-21, 426, N, N, N
1078662, 2018-12-21, 426, N, N, N
1092589, 2018-07-18, 582, N, N, N
1092461, 2018-05-09, 652, N, N, N
1092462, 2018-05-09, 652, N, N, N
1092472, 2018-06-11, 619, N, N, N
1092471, 2018-06-11, 619, N, N, N
1092451, 2018-12-18, 429, N, N, N
1092452, 2018-12-18, 429, N, N, N
1092432, 2018-11-20, 457, N, N, N
1092431, 2018-11-20, 457, N, N, N
1092839, 2018-12-17, 430, N, N, N
109283A, 2018-08-11, 558, N, N, N
109283B, 2018-08-12, 557, N, N, N
1092421, 2018-11-19, 458, N, N, N
1092491, 2019-08-07, 197, N, N, N
1092422, 2018-11-20, 457, N, N, N
1092492, 2019-08-07, 197, N, N, N
1050049, 2018-09-19, 519, N, N, N
1093209, 2018-09-13, 525, N, N, N
1073521, 2019-05-02, 294, N, N, N
1073522, 2019-05-03, 293, N, N, Y
1073512, 2019-03-21, 336, N, N, N
1073511, 2019-03-19, 338, N, N, N
1092549, 2017-12-06, 806, Y, N, N
1092509, 2019-07-29, 206, N, N, N
1054460, 2019-04-30, 296, N, N, N
1007620, 2018-08-01, 568, N, N, N
1007610, 2018-07-13, 587, N, N, N
1093029, 2019-11-10, 102, N, N, N
1060340, 2018-10-05, 503, N, N, N
1060350, 2018-10-24, 484, N, N, N
1093151, 2018-05-10, 651, N, N, N
1093152, 2018-05-10, 651, N, N, N
2256840, 2019-12-23, 59, N, N, N
1092520, 2018-10-26, 482, N, N, N
1093170, 2019-06-11, 254, N, N, N
1034489, 2018-09-12, 526, N, N, N
109288C, 2018-12-20, 427, N, N, N
109288D, 2018-12-13, 434, N, N, N
1092579, 2018-09-12, 526, N, N, N
109294A, 2019-12-10, 72, N, N, N
1092981, 2019-12-10, 72, N, N, N
1092982, 2019-12-10, 72, N, N, N
1034529, 2019-08-23, 181, N, N, N
1095889, 2019-12-08, 74, N, N, N
1073540, 2019-05-06, 290, N, N, N
1073190, 2019-07-01, 234, N, N, N
1073500, 2019-04-09, 317, N, N, N
2200270, 2019-04-08, 318, N, N, N
1092442, 2019-11-26, 86, N, N, N
109288A, 2017-10-25, 848, Y, N, N
1092441, 2018-11-30, 447, N, N, N
109297A, 2019-07-25, 210, N, N, N
109288B, 2018-12-12, 435, N, N, N
1092870, 2019-05-09, 287, N, N, N
1060310, 2018-10-05, 503, N, N, N
1092480, 2019-09-27, 146, N, N, N
5513580, 2018-06-13, 617, N, N, N
1092550, 2019-07-18, 217, N, N, N
1092560, 2018-12-21, 426, N, N, N
1092539, 2019-05-06, 290, N, N, N
