Poor Condition Bridge Inspection Analysis:
BIN, Last Inspection, Days Since Inspection, Inspected Within 24 Months
1015980, 2019-10-01, 142, Y
1073522, 2019-05-03, 293, Y
1025260, 2019-06-05, 260, Y
1047480, 2019-03-20, 337, Y
1007570, 2019-12-15, 67, Y
1038070, 2019-04-25, 301, Y
5513339, 2018-11-19, 458, Y
1007560, 2019-05-15, 281, Y
3301090, 2018-05-15, 646, Y
1038640, 2018-12-05, 442, Y
1072479, 2018-11-07, 470, Y
1073110, 2018-09-06, 532, Y
5513640, 2018-04-12, 679, Y
3301170, 2017-04-28, 1028, N
3301240, 2018-11-29, 448, Y
1092371, 2018-11-20, 457, Y
3301340, 2019-05-08, 288, Y
3301400, 2019-04-23, 303, Y
3301370, 2019-04-24, 302, Y
2254600, 2018-08-15, 554, Y
2255080, 2019-05-02, 294, Y
2329770, 2019-06-24, 241, Y
2213810, 2019-05-21, 275, Y
2213880, 2019-06-19, 246, Y
2213890, 2018-08-27, 542, Y
2213940, 2018-11-15, 462, Y
2214040, 2019-05-21, 275, Y
2254680, 2018-03-27, 695, Y
2215290, 2019-06-26, 239, Y
3357610, 2018-08-16, 553, Y
1062230, 2018-08-06, 563, Y
2215360, 2018-04-11, 680, Y
1062211, 2018-09-05, 533, Y
1062212, 2018-09-05, 533, Y
2214250, 2018-09-24, 514, Y
2214260, 2019-09-10, 163, Y
1014960, 2019-11-19, 93, Y
1012410, 2019-08-29, 175, Y
2214380, 2019-03-28, 329, Y
2214490, 2019-06-19, 246, Y
2214520, 2018-11-12, 465, Y
2215420, 2018-10-08, 500, Y
2214820, 2018-09-04, 534, Y
2214760, 2019-12-12, 70, Y
2214770, 2018-11-30, 447, Y
1043130, 2019-04-03, 323, Y
1043140, 2019-06-19, 246, Y
2215480, 2018-07-24, 576, Y
2215040, 2019-11-26, 86, Y
2254400, 2019-09-13, 160, Y
2254640, 2019-08-05, 199, Y
2215190, 2019-06-20, 245, Y
2215210, 2019-09-20, 153, Y
2214310, 2019-12-04, 78, Y
1066790, 2018-03-14, 708, Y
2066720, 2018-11-07, 470, Y
2241740, 2018-04-03, 688, Y
1066669, 2018-09-06, 532, Y
2266540, 2017-06-27, 968, N
1067979, 2019-07-11, 224, Y
1067452, 2018-07-05, 595, Y
1067451, 2019-10-01, 142, Y
2075849, 2018-03-29, 693, Y
1076729, 2018-12-15, 432, Y
1067109, 2017-09-07, 896, N
1067099, 2018-10-31, 477, Y
1075049, 2017-09-28, 875, N
2229530, 2019-06-26, 239, Y
1066419, 2018-12-13, 434, Y
106685B, 2018-08-02, 567, Y
1066350, 2019-06-05, 260, Y
106651B, 2019-05-01, 295, Y
1066510, 2018-09-21, 517, Y
1066407, 2018-02-15, 735, N
2241590, 2018-04-09, 682, Y
1066360, 2018-02-14, 736, N
1066399, 2018-02-15, 735, N
2241810, 2018-03-31, 691, Y
1066380, 2018-02-14, 736, N
1066290, 2018-03-16, 706, Y
2240200, 2018-06-13, 617, Y
7702320, 2018-06-13, 617, Y
2075837, 2018-02-12, 738, N
2241460, 2018-06-08, 622, Y
1008220, 2019-09-11, 162, Y
1009210, 2018-04-17, 674, Y
2257590, 2019-07-02, 233, Y
3349220, 2018-04-24, 667, Y
2225490, 2018-08-29, 540, Y
1008190, 2019-05-21, 275, Y
1030470, 2018-04-23, 668, Y
1030480, 2018-07-18, 582, Y
3360400, 2019-04-17, 309, Y
1030560, 2019-03-13, 344, Y
1018520, 2018-08-01, 568, Y
1094030, 2018-06-12, 618, Y
1024730, 2019-07-26, 209, Y
3349680, 2019-11-14, 98, Y
3349920, 2018-05-15, 646, Y
2225860, 2018-05-16, 645, Y
2226010, 2019-07-23, 212, Y
2226070, 2019-04-11, 315, Y
3320620, 2019-10-28, 115, Y
3322810, 2019-08-07, 197, Y
6600180, 2019-10-21, 122, Y
6012220, 2018-10-24, 484, Y
5511620, 2019-11-13, 99, Y
5523090, 2019-11-19, 93, Y
3320780, 2019-10-23, 120, Y
3320970, 2019-07-15, 220, Y
3321150, 2019-05-30, 266, Y
1041550, 2018-07-25, 575, Y
3321250, 2019-04-29, 297, Y
3321300, 2019-05-14, 282, Y
1011720, 2018-11-09, 468, Y
3321660, 2019-04-03, 323, Y
3321680, 2019-04-02, 324, Y
1092162, 2018-10-05, 503, Y
3321790, 2019-08-21, 183, Y
2212020, 2019-08-09, 195, Y
3322060, 2019-09-17, 156, Y
3322120, 2019-09-16, 157, Y
3322290, 2019-09-12, 161, Y
3322540, 2019-11-20, 92, Y
3322610, 2019-06-17, 248, Y
2212070, 2019-07-11, 224, Y
3322930, 2018-10-17, 491, Y
1028080, 2018-04-04, 687, Y
3062710, 2018-10-31, 477, Y
5523100, 2019-11-19, 93, Y
6600050, 2019-08-27, 177, Y
3323220, 2018-06-13, 617, Y
2206720, 2019-11-06, 106, Y
3368270, 2019-07-17, 218, Y
3311510, 2019-04-17, 309, Y
1023360, 2019-10-30, 113, Y
3311560, 2019-03-20, 337, Y
2206780, 2019-09-11, 162, Y
2206790, 2019-09-19, 154, Y
3311600, 2019-05-07, 289, Y
2206830, 2019-05-07, 289, Y
4024330, 2018-10-16, 492, Y
5510389, 2019-07-03, 232, Y
3311660, 2019-08-08, 196, Y
3311650, 2019-05-29, 267, Y
1034450, 2018-09-12, 526, Y
3311680, 2019-10-15, 128, Y
2206910, 2019-07-30, 205, Y
2259440, 2018-04-24, 667, Y
1036670, 2019-12-06, 76, Y
3311750, 2019-05-29, 267, Y
2206920, 2018-04-24, 667, Y
2206950, 2019-07-15, 220, Y
2206980, 2019-05-06, 290, Y
2207000, 2019-11-25, 87, Y
3311830, 2019-10-02, 141, Y
2207010, 2019-04-24, 302, Y
2207040, 2019-04-05, 321, Y
3323540, 2019-06-14, 251, Y
3323580, 2019-09-12, 161, Y
3027920, 2019-05-16, 280, Y
3323690, 2019-11-19, 93, Y
1012040, 2019-07-11, 224, Y
3323930, 2019-05-09, 287, Y
3324200, 2019-08-20, 184, Y
1091921, 2019-06-25, 240, Y
3324320, 2019-07-10, 225, Y
1062571, 2019-06-06, 259, Y
3324390, 2019-04-30, 296, Y
3324520, 2019-06-04, 261, Y
2212480, 2019-06-21, 244, Y
3324560, 2019-07-11, 224, Y
3326050, 2019-07-08, 227, Y
3326040, 2019-08-28, 176, Y
1029810, 2019-04-19, 307, Y
3324670, 2019-09-16, 157, Y
3325000, 2019-05-06, 290, Y
3324890, 2019-04-29, 297, Y
2258390, 2019-08-28, 176, Y
2258370, 2017-07-17, 948, N
3325090, 2019-05-08, 288, Y
3323660, 2019-07-22, 213, Y
3325230, 2019-05-29, 267, Y
3325180, 2019-10-01, 142, Y
3325320, 2018-09-17, 521, Y
3325310, 2019-07-10, 225, Y
2212710, 2019-04-08, 318, Y
3325410, 2018-10-23, 485, Y
2212730, 2019-11-07, 105, Y
3325420, 2018-04-12, 679, Y
2212620, 2019-04-11, 315, Y
5511490, 2019-10-22, 121, Y
1071441, 2019-11-06, 106, Y
1060280, 2019-11-08, 104, Y
3325700, 2019-05-28, 268, Y
1045700, 2019-10-01, 142, Y
3325940, 2019-05-01, 295, Y
3325920, 2019-10-14, 129, Y
3326200, 2019-08-01, 203, Y
3330970, 2019-06-07, 258, Y
3331300, 2019-07-31, 204, Y
5524690, 2019-04-02, 324, Y
3331550, 2019-03-21, 336, Y
3331600, 2019-10-08, 135, Y
2255850, 2018-06-12, 618, Y
3331590, 2019-05-10, 286, Y
3331690, 2019-04-16, 310, Y
3330860, 2019-09-13, 160, Y
3331140, 2018-05-09, 652, Y
3331390, 2018-05-16, 645, Y
3331700, 2018-07-02, 598, Y
3331360, 2019-04-23, 303, Y
3331370, 2018-07-31, 569, Y
3331840, 2019-04-16, 310, Y
3331910, 2019-05-09, 287, Y
3331480, 2019-10-17, 126, Y
3331470, 2019-08-27, 177, Y
3331880, 2019-04-24, 302, Y
1041880, 2019-11-19, 93, Y
3332140, 2019-07-11, 224, Y
3332100, 2019-05-30, 266, Y
3332110, 2019-07-19, 216, Y
3332090, 2019-07-23, 212, Y
3332130, 2019-09-26, 147, Y
3332040, 2019-07-17, 218, Y
1046800, 2019-10-11, 132, Y
1042280, 2018-09-04, 534, Y
1024750, 2019-05-13, 283, Y
1004560, 2018-08-21, 548, Y
3350310, 2019-08-06, 198, Y
2226450, 2019-04-08, 318, Y
3350970, 2019-04-16, 310, Y
1017530, 2018-05-08, 653, Y
1009360, 2018-03-27, 695, Y
3350610, 2018-07-17, 583, Y
3351260, 2018-04-18, 673, Y
3350920, 2019-05-08, 288, Y
3351430, 2019-06-24, 241, Y
3351370, 2018-05-29, 632, Y
2226410, 2019-03-20, 337, Y
1041680, 2018-08-21, 548, Y
1024840, 2018-07-24, 576, Y
3366840, 2019-07-24, 211, Y
3351580, 2019-05-23, 273, Y
3336560, 2019-10-29, 114, Y
3336360, 2019-07-16, 219, Y
3336380, 2018-06-07, 623, Y
1006270, 2019-08-26, 178, Y
3336200, 2019-05-08, 288, Y
3336210, 2018-07-11, 589, Y
2219520, 2019-05-30, 266, Y
1006060, 2019-06-12, 253, Y
1034110, 2019-07-18, 217, Y
3336100, 2018-06-12, 618, Y
1034060, 2019-05-13, 283, Y
2219540, 2018-05-08, 653, Y
1009010, 2019-07-16, 219, Y
3336510, 2018-09-12, 526, Y
3336420, 2019-07-18, 217, Y
3336540, 2018-07-10, 590, Y
3336440, 2019-07-18, 217, Y
3336260, 2019-07-16, 219, Y
3335920, 2018-09-18, 520, Y
3335720, 2019-06-24, 241, Y
3358320, 2019-05-20, 276, Y
3335770, 2019-10-29, 114, Y
3342180, 2018-08-20, 549, Y
1040150, 2019-11-13, 99, Y
1029040, 2019-08-26, 178, Y
1029070, 2019-08-15, 189, Y
5515281, 2018-05-30, 631, Y
5515211, 2019-05-08, 288, Y
5045102, 2018-09-13, 525, Y
5045101, 2018-09-13, 525, Y
3222060, 2018-09-12, 526, Y
1045110, 2019-04-25, 301, Y
3222000, 2019-06-27, 238, Y
5515270, 2019-06-27, 238, Y
1017850, 2019-03-21, 336, Y
3222240, 2019-11-06, 106, Y
3222300, 2019-05-23, 273, Y
1016790, 2019-07-10, 225, Y
3342410, 2019-09-18, 155, Y
3222370, 2018-06-01, 629, Y
3222360, 2019-06-13, 252, Y
3222390, 2019-04-10, 316, Y
3342440, 2019-03-13, 344, Y
3222470, 2018-04-25, 666, Y
3222490, 2018-08-22, 547, Y
3222520, 2019-10-23, 120, Y
3222510, 2019-11-05, 107, Y
3222660, 2018-08-23, 546, Y
3222640, 2019-06-27, 238, Y
3222670, 2019-03-28, 329, Y
3222680, 2019-06-05, 260, Y
3222650, 2019-10-30, 113, Y
2222700, 2019-10-07, 136, Y
2223000, 2018-08-11, 558, Y
1006529, 2019-06-25, 240, Y
3342130, 2019-10-02, 141, Y
3222760, 2019-06-05, 260, Y
3222790, 2019-05-21, 275, Y
3222770, 2019-09-05, 168, Y
3222880, 2019-10-28, 115, Y
3222890, 2019-08-15, 189, Y
1005430, 2018-10-19, 489, Y
3222910, 2019-11-20, 92, Y
3342250, 2019-11-21, 91, Y
5502509, 2018-05-22, 639, Y
5502519, 2019-10-30, 113, Y
3342300, 2019-05-09, 287, Y
3222930, 2018-09-11, 527, Y
2207210, 2019-06-07, 258, Y
1031381, 2019-07-26, 209, Y
1031382, 2019-08-12, 192, Y
1008370, 2019-09-17, 156, Y
1031342, 2018-09-20, 518, Y
1031341, 2018-09-21, 517, Y
2207230, 2019-05-16, 280, Y
2207220, 2019-04-10, 316, Y
3312300, 2019-07-17, 218, Y
3312330, 2019-12-10, 72, Y
3312370, 2018-09-19, 519, Y
2207300, 2019-04-08, 318, Y
1040070, 2018-10-11, 497, Y
1041770, 2018-10-11, 497, Y
2267040, 2019-04-16, 310, Y
3207340, 2019-06-04, 261, Y
3312310, 2019-09-25, 148, Y
2207690, 2019-04-10, 316, Y
2207700, 2019-04-10, 316, Y
1041790, 2019-11-19, 93, Y
1041810, 2019-10-30, 113, Y
3312030, 2019-04-22, 304, Y
3312050, 2019-05-22, 274, Y
1041800, 2019-11-04, 108, Y
3207760, 2018-09-06, 532, Y
3367480, 2019-09-11, 162, Y
2268600, 2019-07-25, 210, Y
2267760, 2019-06-18, 247, Y
1031321, 2018-07-13, 587, Y
2207600, 2019-06-05, 260, Y
3312140, 2019-11-04, 108, Y
3351880, 2019-09-12, 161, Y
3353550, 2019-05-16, 280, Y
1007770, 2019-05-15, 281, Y
1019890, 2018-09-13, 525, Y
3352270, 2019-06-27, 238, Y
1004440, 2019-08-21, 183, Y
2226710, 2018-10-09, 499, Y
1063330, 2019-06-19, 246, Y
3353070, 2019-09-25, 148, Y
3352440, 2018-07-03, 597, Y
3352380, 2018-08-13, 556, Y
3352340, 2018-07-02, 598, Y
2226830, 2019-04-11, 315, Y
3352710, 2019-06-18, 247, Y
3352640, 2019-07-30, 205, Y
3352540, 2019-08-08, 196, Y
3352550, 2019-05-10, 286, Y
3352780, 2018-07-17, 583, Y
1053430, 2018-09-13, 525, Y
1020870, 2019-06-24, 241, Y
3353150, 2019-09-20, 153, Y
3353030, 2019-08-14, 190, Y
1017650, 2019-03-12, 345, Y
1020880, 2019-06-10, 255, Y
3227050, 2019-09-03, 170, Y
3353210, 2019-09-04, 169, Y
3353190, 2019-04-04, 322, Y
2227060, 2019-09-03, 170, Y
3353520, 2019-09-13, 160, Y
1004470, 2018-10-19, 489, Y
2227170, 2019-04-16, 310, Y
2227260, 2018-08-27, 542, Y
3360420, 2019-03-08, 349, Y
3353430, 2019-03-19, 338, Y
2227340, 2019-08-15, 189, Y
1025610, 2018-05-31, 630, Y
1041330, 2019-07-24, 211, Y
3342730, 2019-03-13, 344, Y
3342800, 2019-06-06, 259, Y
3342860, 2019-06-17, 248, Y
2342910, 2019-03-19, 338, Y
2342940, 2019-04-23, 303, Y
1046980, 2019-04-02, 324, Y
1032300, 2019-07-26, 209, Y
1052351, 2019-11-13, 99, Y
3343110, 2019-04-24, 302, Y
1032492, 2019-07-08, 227, Y
1006360, 2019-08-20, 184, Y
3343190, 2017-09-06, 897, N
5521800, 2018-08-12, 557, Y
5521770, 1991-02-13, 10599, N
3343270, 2018-04-24, 667, Y
1040069, 2019-06-06, 259, Y
3343350, 2019-04-05, 321, Y
3343370, 2019-06-13, 252, Y
2223040, 2019-04-29, 297, Y
3343520, 2019-08-28, 176, Y
3343510, 2019-06-14, 251, Y
3343530, 2019-11-06, 106, Y
3343590, 2019-03-25, 332, Y
1005319, 2018-08-10, 559, Y
2262680, 2019-04-16, 310, Y
2262670, 2019-04-17, 309, Y
1005239, 2019-11-12, 100, Y
1040020, 2018-08-22, 547, Y
1005380, 2019-10-24, 119, Y
2262850, 2019-06-11, 254, Y
2343700, 2019-03-13, 344, Y
3343760, 2019-06-13, 252, Y
3343780, 2019-10-24, 119, Y
2343770, 2019-10-23, 120, Y
3365140, 2019-07-29, 206, Y
3343850, 2019-04-26, 300, Y
3343820, 2019-03-22, 335, Y
3343840, 2019-07-16, 219, Y
3343870, 2019-07-29, 206, Y
3343920, 2019-03-19, 338, Y
3343930, 2017-07-06, 959, N
3344110, 2019-03-20, 337, Y
3326450, 2019-05-29, 267, Y
3328800, 2019-08-14, 190, Y
1022930, 2019-09-26, 147, Y
3326890, 2018-05-23, 638, Y
3326900, 2018-10-23, 485, Y
1072601, 2019-05-15, 281, Y
1072602, 2019-05-08, 288, Y
1072642, 2019-05-14, 282, Y
1072641, 2019-05-14, 282, Y
5511990, 2018-07-20, 580, Y
2266621, 2019-06-19, 246, Y
2266622, 2019-07-02, 233, Y
1072800, 2019-09-13, 160, Y
1044340, 2018-10-01, 507, Y
2212990, 2019-05-15, 281, Y
3327950, 2019-06-25, 240, Y
3327840, 2019-10-15, 128, Y
3328560, 2019-07-22, 213, Y
1001350, 2019-08-13, 191, Y
5512229, 2019-09-19, 154, Y
1039959, 2018-10-11, 497, Y
1001590, 2019-10-30, 113, Y
2028430, 2018-10-17, 491, Y
2260690, 2018-07-10, 590, Y
2260540, 2019-08-24, 180, Y
2255280, 2019-09-05, 168, Y
2260670, 2018-10-03, 505, Y
1022720, 2019-11-25, 87, Y
5512290, 2019-11-25, 87, Y
2260430, 2019-11-26, 86, Y
2260730, 2019-09-23, 150, Y
2260590, 2019-11-18, 94, Y
7708440, 2019-10-30, 113, Y
1042640, 2019-11-14, 98, Y
1023160, 2018-06-18, 612, Y
3327230, 2019-09-19, 154, Y
5512010, 2018-06-18, 612, Y
2261020, 2019-11-18, 94, Y
6060710, 2018-11-26, 451, Y
3328350, 2019-09-26, 147, Y
1071082, 2019-09-03, 170, Y
1071090, 2019-06-18, 247, Y
3328360, 2019-09-24, 149, Y
2260820, 2018-10-22, 486, Y
3328440, 2019-05-06, 290, Y
3327890, 2019-10-01, 142, Y
5512420, 2019-10-20, 123, Y
1046500, 2019-11-27, 85, Y
1047621, 2019-04-17, 309, Y
1001360, 2018-06-01, 629, Y
1001370, 2019-08-22, 182, Y
3327500, 2018-09-11, 527, Y
3327820, 2019-10-07, 136, Y
5045800, 2018-09-08, 530, Y
5512720, 2018-12-18, 429, Y
1041660, 2018-08-02, 567, Y
1063040, 2019-10-09, 134, Y
5512440, 2018-07-02, 598, Y
5512430, 2018-07-02, 598, Y
5512490, 2019-06-19, 246, Y
1029910, 2018-05-11, 650, Y
1028230, 2018-08-22, 547, Y
5512470, 2019-11-02, 110, Y
3328180, 2018-06-05, 625, Y
2260370, 2019-06-17, 248, Y
5511889, 2018-06-05, 625, Y
2268140, 2019-10-03, 140, Y
2213280, 2018-11-12, 465, Y
5511670, 2018-04-24, 667, Y
1046510, 2018-08-06, 563, Y
1046570, 2018-04-25, 666, Y
3328050, 2018-11-15, 462, Y
