Bridge Age Distribution:
Age (years), Number of Bridges
5, 82
6, 125
7, 137
8, 158
9, 126
10, 135
11, 136
12, 173
13, 145
14, 161
15, 128
16, 142
17, 194
18, 142
19, 139
20, 166
21, 202
22, 193
23, 183
24, 187
25, 198
26, 252
27, 225
28, 179
29, 196
30, 212
31, 237
32, 209
33, 258
34, 263
35, 209
36, 203
37, 190
38, 171
39, 167
40, 107
41, 122
42, 131
43, 177
44, 212
45, 113
46, 110
47, 122
48, 127
49, 138
50, 165
51, 261
52, 223
53, 254
54, 271
55, 266
56, 347
57, 249
58, 250
59, 304
60, 230
61, 334
62, 264
63, 279
64, 321
65, 217
66, 190
67, 185
68, 251
69, 258
70, 269
71, 269
72, 142
73, 111
74, 183
75, 115
76, 114
77, 93
78, 55
79, 36
80, 22
81, 12
82, 52
83, 113
84, 189
85, 170
86, 167
87, 162
88, 165
89, 205
90, 156
91, 107
92, 150
93, 189
94, 293
95, 122
96, 87
97, 79
98, 36
99, 57
100, 29
101, 29
102, 18
103, 15
104, 80
105, 10
106, 8
107, 13
108, 29
109, 36
110, 41
111, 25
112, 39
113, 35
114, 67
115, 43
116, 31
117, 26
118, 28
119, 16
120, 12
121, 5
122, 8
123, 11
124, 83
125, 7
126, 5
127, 10
128, 6
129, 10
130, 7
131, 6
132, 3
133, 4
134, 15
135, 18
136, 6
137, 5
138, 6
139, 4
140, 2
141, 3
142, 3
144, 10
146, 3
149, 4
150, 2
151, 1
152, 1
154, 6
155, 1
159, 4
162, 4
163, 1
164, 5
166, 1
167, 1
168, 1
171, 2
174, 4
182, 1
199, 1
224, 1
