Feature Carried Condition Correlation:
90IX: Total: 119, Poor: 15, Poor %: 12.61%
87IX: Total: 59, Poor: 9, Poor %: 15.25%
MAIN STREET: Total: 52, Poor: 6, Poor %: 11.54%
MILL STREET: Total: 35, Poor: 6, Poor %: 17.14%
COUNTY ROAD 16: Total: 30, Poor: 2, Poor %: 6.67%
COUNTY ROAD 21: Total: 29, Poor: 6, Poor %: 20.69%
RIVER ROAD: Total: 29, Poor: 3, Poor %: 10.34%
COUNTY ROAD 28: Total: 29, Poor: 0, Poor %: 0.00%
190IX: Total: 28, Poor: 1, Poor %: 3.57%
COUNTY ROAD 18: Total: 25, Poor: 3, Poor %: 12.00%
COUNTY ROAD 6: Total: 24, Poor: 2, Poor %: 8.33%
COUNTY ROAD 7: Total: 24, Poor: 4, Poor %: 16.67%
COUNTY ROAD 19: Total: 23, Poor: 1, Poor %: 4.35%
95IX: Total: 23, Poor: 0, Poor %: 0.00%
MILL ROAD: Total: 23, Poor: 5, Poor %: 21.74%
COUNTY ROAD 12: Total: 21, Poor: 0, Poor %: 0.00%
COUNTY ROAD 4: Total: 21, Poor: 1, Poor %: 4.76%
COUNTY ROAD 9: Total: 21, Poor: 3, Poor %: 14.29%
COUNTY ROAD 11: Total: 20, Poor: 1, Poor %: 5.00%
COUNTY ROAD 13: Total: 20, Poor: 0, Poor %: 0.00%
COUNTY ROAD 32: Total: 19, Poor: 1, Poor %: 5.26%
COUNTY ROAD 27: Total: 19, Poor: 0, Poor %: 0.00%
CREEK ROAD: Total: 19, Poor: 4, Poor %: 21.05%
90IX EB: Total: 19, Poor: 1, Poor %: 5.26%
90IX WB: Total: 19, Poor: 2, Poor %: 10.53%
COUNTY ROAD 20: Total: 18, Poor: 0, Poor %: 0.00%
COUNTY ROAD 33: Total: 18, Poor: 1, Poor %: 5.56%
COUNTY ROAD 47: Total: 18, Poor: 4, Poor %: 22.22%
BRIDGE STREET: Total: 18, Poor: 4, Poor %: 22.22%
OLD STATE ROAD: Total: 17, Poor: 3, Poor %: 17.65%
COUNTY ROAD 15: Total: 17, Poor: 1, Poor %: 5.88%
COUNTY ROAD 35: Total: 17, Poor: 1, Poor %: 5.88%
COUNTY ROAD 23: Total: 16, Poor: 0, Poor %: 0.00%
COUNTY ROAD 2: Total: 15, Poor: 0, Poor %: 0.00%
COUNTY ROAD 22: Total: 15, Poor: 1, Poor %: 6.67%
COUNTY ROAD 10: Total: 15, Poor: 2, Poor %: 13.33%
COUNTY ROAD 29: Total: 15, Poor: 1, Poor %: 6.67%
TOWN LINE ROAD: Total: 15, Poor: 5, Poor %: 33.33%
25 X: Total: 15, Poor: 1, Poor %: 6.67%
WATER STREET: Total: 14, Poor: 2, Poor %: 14.29%
COUNTY ROAD 17: Total: 14, Poor: 0, Poor %: 0.00%
COUNTY ROAD 26: Total: 14, Poor: 0, Poor %: 0.00%
COUNTY ROAD 41: Total: 14, Poor: 0, Poor %: 0.00%
COUNTY ROAD 24: Total: 14, Poor: 0, Poor %: 0.00%
GRAND CONCOURSE: Total: 14, Poor: 0, Poor %: 0.00%
CEMETERY ROAD: Total: 14, Poor: 2, Poor %: 14.29%
90IX  WB: Total: 14, Poor: 3, Poor %: 21.43%
90IX  EB: Total: 14, Poor: 4, Poor %: 28.57%
907GX: Total: 14, Poor: 1, Poor %: 7.14%
WASHINGTON AVENUE: Total: 13, Poor: 0, Poor %: 0.00%
COUNTY ROAD 1: Total: 13, Poor: 2, Poor %: 15.38%
COUNTY ROAD 3: Total: 13, Poor: 2, Poor %: 15.38%
COUNTY ROAD 14: Total: 13, Poor: 1, Poor %: 7.69%
RIDGE ROAD: Total: 13, Poor: 3, Poor %: 23.08%
987DX: Total: 13, Poor: 1, Poor %: 7.69%
JONES ROAD: Total: 11, Poor: 2, Poor %: 18.18%
COUNTY ROAD 37: Total: 11, Poor: 1, Poor %: 9.09%
COUNTY ROAD 8: Total: 11, Poor: 0, Poor %: 0.00%
COUNTY ROAD 34: Total: 11, Poor: 2, Poor %: 18.18%
ELM STREET: Total: 10, Poor: 1, Poor %: 10.00%
EAST MAIN STREET: Total: 10, Poor: 2, Poor %: 20.00%
COUNTY ROAD 36: Total: 10, Poor: 1, Poor %: 10.00%
COUNTY ROAD 31: Total: 10, Poor: 0, Poor %: 0.00%
COUNTY ROAD 68: Total: 10, Poor: 2, Poor %: 20.00%
CHURCH STREET: Total: 10, Poor: 1, Poor %: 10.00%
COUNTY ROAD 85: Total: 10, Poor: 0, Poor %: 0.00%
COUNTY ROAD 119: Total: 10, Poor: 1, Poor %: 10.00%
278IX: Total: 10, Poor: 0, Poor %: 0.00%
WEST DRIVE: Total: 10, Poor: 0, Poor %: 0.00%
COUNTY ROAD 70A: Total: 10, Poor: 0, Poor %: 0.00%
COUNTY ROAD 43: Total: 9, Poor: 2, Poor %: 22.22%
EAST RIVER ROAD: Total: 9, Poor: 0, Poor %: 0.00%
DRY BROOK ROAD: Total: 9, Poor: 0, Poor %: 0.00%
COUNTY ROAD 52: Total: 9, Poor: 1, Poor %: 11.11%
RAILROAD AVENUE: Total: 9, Poor: 2, Poor %: 22.22%
KING ROAD: Total: 9, Poor: 2, Poor %: 22.22%
SOUTH STREET: Total: 9, Poor: 2, Poor %: 22.22%
BROADWAY: Total: 9, Poor: 2, Poor %: 22.22%
SMITH ROAD: Total: 9, Poor: 1, Poor %: 11.11%
SANDY CREEK ROAD: Total: 9, Poor: 0, Poor %: 0.00%
25AX: Total: 9, Poor: 1, Poor %: 11.11%
287IX: Total: 9, Poor: 1, Poor %: 11.11%
MILLER ROAD: Total: 8, Poor: 3, Poor %: 37.50%
PINE STREET: Total: 8, Poor: 2, Poor %: 25.00%
CENTER STREET: Total: 8, Poor: 2, Poor %: 25.00%
LAKE ROAD: Total: 8, Poor: 1, Poor %: 12.50%
WEST MAIN STREET: Total: 8, Poor: 2, Poor %: 25.00%
COUNTY ROAD 5: Total: 8, Poor: 0, Poor %: 0.00%
PARK ROAD: Total: 8, Poor: 1, Poor %: 12.50%
WESTCHESTER AVE: Total: 8, Poor: 1, Poor %: 12.50%
PENNSYLVANIA AVE: Total: 8, Poor: 1, Poor %: 12.50%
RIVERSIDE DRIVE: Total: 8, Poor: 0, Poor %: 0.00%
MOSHER HOLLOW RD: Total: 8, Poor: 0, Poor %: 0.00%
BOWEN ROAD: Total: 8, Poor: 0, Poor %: 0.00%
COUNTY ROAD 65: Total: 8, Poor: 2, Poor %: 25.00%
LAKE AVENUE: Total: 8, Poor: 0, Poor %: 0.00%
COUNTY ROAD 77: Total: 8, Poor: 1, Poor %: 12.50%
COUNTY ROAD 38: Total: 8, Poor: 2, Poor %: 25.00%
PALMER ROAD: Total: 8, Poor: 2, Poor %: 25.00%
LAKE SHORE ROAD: Total: 8, Poor: 1, Poor %: 12.50%
COUNTY ROAD 105: Total: 8, Poor: 0, Poor %: 0.00%
RIVER STREET: Total: 8, Poor: 1, Poor %: 12.50%
EAST DRIVE: Total: 8, Poor: 1, Poor %: 12.50%
COUNTY ROAD 55: Total: 7, Poor: 1, Poor %: 14.29%
BROWN ROAD: Total: 7, Poor: 1, Poor %: 14.29%
NORTH MAIN STREET: Total: 7, Poor: 1, Poor %: 14.29%
COUNTY ROAD 40: Total: 7, Poor: 2, Poor %: 28.57%
CLARK ROAD: Total: 7, Poor: 1, Poor %: 14.29%
CHURCH ROAD: Total: 7, Poor: 1, Poor %: 14.29%
TANNERY ROAD: Total: 7, Poor: 3, Poor %: 42.86%
COUNTY ROAD 71: Total: 7, Poor: 0, Poor %: 0.00%
COUNTY ROAD 25: Total: 7, Poor: 1, Poor %: 14.29%
WEBSTER ROAD: Total: 7, Poor: 1, Poor %: 14.29%
COUNTY ROAD 70: Total: 7, Poor: 0, Poor %: 0.00%
NORTH ROAD: Total: 7, Poor: 0, Poor %: 0.00%
COUNTY ROAD 73: Total: 7, Poor: 0, Poor %: 0.00%
EAST AVENUE: Total: 7, Poor: 0, Poor %: 0.00%
PLANK ROAD: Total: 7, Poor: 1, Poor %: 14.29%
COLD SPRING ROAD: Total: 7, Poor: 1, Poor %: 14.29%
HIGH STREET: Total: 7, Poor: 1, Poor %: 14.29%
WASHINGTON STREET: Total: 7, Poor: 1, Poor %: 14.29%
YOUNGS ROAD: Total: 7, Poor: 2, Poor %: 28.57%
FISHER ROAD: Total: 7, Poor: 0, Poor %: 0.00%
BLACK CREEK ROAD: Total: 7, Poor: 0, Poor %: 0.00%
UNION STREET: Total: 7, Poor: 2, Poor %: 28.57%
LONG POND ROAD: Total: 7, Poor: 1, Poor %: 14.29%
COUNTY ROAD 46: Total: 7, Poor: 2, Poor %: 28.57%
CR2 CRANES HOLLOW RD: Total: 7, Poor: 1, Poor %: 14.29%
440 X: Total: 7, Poor: 0, Poor %: 0.00%
COUNTY ROAD 111: Total: 6, Poor: 2, Poor %: 33.33%
BIG HOLLOW ROAD: Total: 6, Poor: 0, Poor %: 0.00%
COUNTY ROAD 30: Total: 6, Poor: 1, Poor %: 16.67%
DUTCH HILL ROAD: Total: 6, Poor: 1, Poor %: 16.67%
JOHNSON ROAD: Total: 6, Poor: 2, Poor %: 33.33%
COUNTY ROAD 7A: Total: 6, Poor: 1, Poor %: 16.67%
STATE PARK ROAD: Total: 6, Poor: 0, Poor %: 0.00%
COUNTY ROAD 66: Total: 6, Poor: 0, Poor %: 0.00%
90IX (EB): Total: 6, Poor: 0, Poor %: 0.00%
90IX (WB): Total: 6, Poor: 0, Poor %: 0.00%
COUNTY ROAD 67: Total: 6, Poor: 0, Poor %: 0.00%
STONE ROAD: Total: 6, Poor: 1, Poor %: 16.67%
HALL ROAD: Total: 6, Poor: 1, Poor %: 16.67%
CREAMERY ROAD: Total: 6, Poor: 1, Poor %: 16.67%
CR03 WYNCOOP CRK: Total: 6, Poor: 0, Poor %: 0.00%
CLARK HOLLOW ROAD: Total: 6, Poor: 1, Poor %: 16.67%
COLD BROOK ROAD: Total: 6, Poor: 0, Poor %: 0.00%
COLD SPRINGS ROAD: Total: 6, Poor: 0, Poor %: 0.00%
COUNTY ROAD 50: Total: 6, Poor: 0, Poor %: 0.00%
MILL BROOK ROAD: Total: 6, Poor: 2, Poor %: 33.33%
COUNTY ROAD 44: Total: 6, Poor: 0, Poor %: 0.00%
COUNTY ROAD 48: Total: 6, Poor: 0, Poor %: 0.00%
ROOSEVELT AVENUE: Total: 6, Poor: 0, Poor %: 0.00%
COUNTY ROAD 110: Total: 6, Poor: 1, Poor %: 16.67%
GENESEE ROAD: Total: 6, Poor: 2, Poor %: 33.33%
CENTRAL AVENUE: Total: 6, Poor: 0, Poor %: 0.00%
HARRIS ROAD: Total: 6, Poor: 0, Poor %: 0.00%
LAWRENCE ROAD: Total: 6, Poor: 1, Poor %: 16.67%
TAYLOR ROAD: Total: 6, Poor: 1, Poor %: 16.67%
EAST LAKE ROAD: Total: 6, Poor: 0, Poor %: 0.00%
CHEESE FACTORY RD: Total: 6, Poor: 0, Poor %: 0.00%
NORTH GREECE ROAD: Total: 6, Poor: 0, Poor %: 0.00%
PARK AVENUE: Total: 6, Poor: 1, Poor %: 16.67%
COUNTY ROAD 117: Total: 6, Poor: 1, Poor %: 16.67%
COUNTY ROAD 333: Total: 6, Poor: 1, Poor %: 16.67%
MOUNTAINDALE ROAD: Total: 6, Poor: 1, Poor %: 16.67%
5 X: Total: 5, Poor: 1, Poor %: 20.00%
COUNTY ROAD 102: Total: 5, Poor: 0, Poor %: 0.00%
COUNTY ROAD 53: Total: 5, Poor: 0, Poor %: 0.00%
EAST VALLEY ROAD: Total: 5, Poor: 1, Poor %: 20.00%
MIDDLE ROAD: Total: 5, Poor: 0, Poor %: 0.00%
BUSH ROAD: Total: 5, Poor: 1, Poor %: 20.00%
NORTH BRANCH ROAD: Total: 5, Poor: 0, Poor %: 0.00%
COUNTY ROAD 49: Total: 5, Poor: 0, Poor %: 0.00%
EAST TREMONT AVE: Total: 5, Poor: 0, Poor %: 0.00%
GUN HILL ROAD: Total: 5, Poor: 0, Poor %: 0.00%
COUNTY ROAD 72: Total: 5, Poor: 0, Poor %: 0.00%
POWDERHOUSE ROAD: Total: 5, Poor: 0, Poor %: 0.00%
FIVE MILE ROAD: Total: 5, Poor: 0, Poor %: 0.00%
HINMAN HOLLOW RD: Total: 5, Poor: 2, Poor %: 40.00%
DEPOT STREET: Total: 5, Poor: 0, Poor %: 0.00%
MARTIN ROAD: Total: 5, Poor: 0, Poor %: 0.00%
COUNTY ROAD 103: Total: 5, Poor: 0, Poor %: 0.00%
DIVISION STREET: Total: 5, Poor: 1, Poor %: 20.00%
GRISWOLD ROAD: Total: 5, Poor: 0, Poor %: 0.00%
COUNTY ROAD 45: Total: 5, Poor: 0, Poor %: 0.00%
COUNTY ROAD 127: Total: 5, Poor: 0, Poor %: 0.00%
COUNTY ROAD 63: Total: 5, Poor: 0, Poor %: 0.00%
90IX  (EB): Total: 5, Poor: 1, Poor %: 20.00%
COUNTY ROAD 60: Total: 5, Poor: 0, Poor %: 0.00%
CR 16: Total: 5, Poor: 0, Poor %: 0.00%
CARPENTER ROAD: Total: 5, Poor: 0, Poor %: 0.00%
DUGWAY ROAD: Total: 5, Poor: 0, Poor %: 0.00%
SANDS CREEK ROAD: Total: 5, Poor: 2, Poor %: 40.00%
BROOK ROAD: Total: 5, Poor: 0, Poor %: 0.00%
CLOVE ROAD: Total: 5, Poor: 1, Poor %: 20.00%
CLINTON STREET: Total: 5, Poor: 0, Poor %: 0.00%
PARKER ROAD: Total: 5, Poor: 1, Poor %: 20.00%
NEW OREGON ROAD: Total: 5, Poor: 0, Poor %: 0.00%
WILLIAM STREET: Total: 5, Poor: 2, Poor %: 40.00%
SCHOOL STREET: Total: 5, Poor: 1, Poor %: 20.00%
BAKER ROAD: Total: 5, Poor: 0, Poor %: 0.00%
BLUE MOUNTAIN RD: Total: 5, Poor: 2, Poor %: 40.00%
KINGS HIGHWAY: Total: 5, Poor: 0, Poor %: 0.00%
MERRICK ROAD: Total: 5, Poor: 0, Poor %: 0.00%
QUAKER ROAD: Total: 5, Poor: 1, Poor %: 20.00%
MIDLAND AVENUE: Total: 5, Poor: 1, Poor %: 20.00%
UNION TURNPIKE: Total: 5, Poor: 2, Poor %: 40.00%
ROCKLAND AVENUE: Total: 5, Poor: 1, Poor %: 20.00%
HANS CREEK ROAD: Total: 5, Poor: 0, Poor %: 0.00%
NEW HIGHWAY: Total: 5, Poor: 0, Poor %: 0.00%
CROSS RIVER DR: Total: 5, Poor: 0, Poor %: 0.00%
WEST CREEK ROAD: Total: 5, Poor: 0, Poor %: 0.00%
PEEKAMOOSE ROAD: Total: 5, Poor: 3, Poor %: 60.00%
987FX: Total: 5, Poor: 0, Poor %: 0.00%
FENIMORE ROAD: Total: 5, Poor: 0, Poor %: 0.00%
TUCKAHOE ROAD: Total: 5, Poor: 0, Poor %: 0.00%
90I 90I11013014: Total: 4, Poor: 0, Poor %: 0.00%
HUNTERSLAND ROAD: Total: 4, Poor: 1, Poor %: 25.00%
WEAVER ROAD: Total: 4, Poor: 1, Poor %: 25.00%
PLEASANT VLLEY RD: Total: 4, Poor: 0, Poor %: 0.00%
COUNTY ROAD 306: Total: 4, Poor: 2, Poor %: 50.00%
SNYDER ROAD: Total: 4, Poor: 1, Poor %: 25.00%
HAMILTON ROAD: Total: 4, Poor: 1, Poor %: 25.00%
WOOD ROAD: Total: 4, Poor: 0, Poor %: 0.00%
ALLEN ROAD: Total: 4, Poor: 0, Poor %: 0.00%
MADISON STREET: Total: 4, Poor: 0, Poor %: 0.00%
SOUTH MAIN STREET: Total: 4, Poor: 0, Poor %: 0.00%
TUCKER ROAD: Total: 4, Poor: 1, Poor %: 25.00%
THIRD AVENUE: Total: 4, Poor: 0, Poor %: 0.00%
81I 81I91013033: Total: 4, Poor: 0, Poor %: 0.00%
CR 33: Total: 4, Poor: 0, Poor %: 0.00%
WALKER ROAD: Total: 4, Poor: 0, Poor %: 0.00%
COUNTY ROAD 75: Total: 4, Poor: 1, Poor %: 25.00%
HILL STREET: Total: 4, Poor: 1, Poor %: 25.00%
KENT ROAD: Total: 4, Poor: 0, Poor %: 0.00%
SPRING STREET: Total: 4, Poor: 0, Poor %: 0.00%
BAY STATE ROAD: Total: 4, Poor: 0, Poor %: 0.00%
SAWMILL RUN ROAD: Total: 4, Poor: 0, Poor %: 0.00%
NICHOLS ROAD: Total: 4, Poor: 1, Poor %: 25.00%
SIMMONS ROAD: Total: 4, Poor: 2, Poor %: 50.00%
MOORE ROAD: Total: 4, Poor: 0, Poor %: 0.00%
HORTON ROAD: Total: 4, Poor: 1, Poor %: 25.00%
28TH CREEK ROAD: Total: 4, Poor: 1, Poor %: 25.00%
COUNTY ROAD 64: Total: 4, Poor: 0, Poor %: 0.00%
LIBERTY STREET: Total: 4, Poor: 0, Poor %: 0.00%
COUNTY ROAD 42: Total: 4, Poor: 1, Poor %: 25.00%
COUNTY ROAD 91: Total: 4, Poor: 0, Poor %: 0.00%
PROSPECT STREET: Total: 4, Poor: 2, Poor %: 50.00%
COUNTY ROAD 380: Total: 4, Poor: 0, Poor %: 0.00%
COUNTY ROAD 57: Total: 4, Poor: 0, Poor %: 0.00%
CR35 CHAMBERS RD: Total: 4, Poor: 0, Poor %: 0.00%
