Critical Infrastructure Bridges Analysis:

Total Critical Bridges Identified: 733
Poor Condition Critical Bridges: 72

Detailed List of Critical Bridges:
BIN, Feature Carried, Feature Crossed, Year Built, Last Inspection, Poor Condition, Reason
3343080,BEEKMAN ROAD,SYLVAN LAKE OUTLT,2019,04/29/2019,No,Significant Feature
3302040,CAMPSITE ROAD,HUDSON RIVER,2019,12/18/2019,No,Significant Feature
5510170,90IX,CSX RR,2019,10/25/2019,No,Significant Feature
3345890,SAMSONDALE AVENUE,CSX TRANS/ RVR LN,2019,08/11/2019,No,Significant Feature
2217800,TAGGART ROAD,KEUKA LAKE INLET,2019,12/09/2019,No,Significant Feature
1008750,11  11 75061193,CSX TRANSPRTATION,2019,11/06/2019,No,Significant Feature
1022500,32  32 11046018,MOHAWK RIVER,2018,08/16/2018,No,Significant Feature
1032480,I-84 EB & WB,MNRR Beacon Line,2018,07/24/2019,No,Major Route
3328720,STONY ROAD,ELLICOTT CREEK,2018,01/24/2019,No,Major Route
1015660,BETHANY CENTER ROAD,20  20 41031170,2018,09/25/2018,No,Major Route
3338580,STONY CREEK ROAD,STONY CREEK,2018,12/10/2018,No,Major Route
551634A,87IX Trn Arnd #1,HUDSON RIVER,2018,12/19/2018,No,Significant Feature
2028330,US ROUTE 62,BUFFALO RIVER,2017,11/25/2019,No,Major Route
2028320,US ROUTE 62,CAZENOVIA CREEK,2017,11/25/2019,No,Major Route
4424090,JOHNNY CAKE HILL ROAD,MADISON RESERVOIR FEEDER CANAL,2017,10/15/2019,No,Major Route
3356350,WILLI HILL ROAD,BRISCOE LAKE,2017,11/04/2019,No,Significant Feature
1020370,28  28 17101163,HUDSON RIVER,2017,06/25/2019,No,Significant Feature
4426240,DUSTIN ROAD,KAYUTA LAKE,2016,11/02/2018,No,Significant Feature
3346040,ORANGEBURG ROAD,CSX Transportation,2016,06/14/2018,No,Significant Feature
6048500,NY 438 4 MILE LEVEL RD,90IX,2015,10/28/2019,No,Major Route
3371240,Bryants Siding Road,Ragged Lake Outlet,2015,12/03/2019,No,Significant Feature
3365930,NORTH COURT ST,CSX TRANS/ AMTRAK,2015,09/06/2018,No,Significant Feature
2222150,ALBANY TURNPIKE,CSX TRANS/ AMTRAK,2014,05/25/2018,No,Major Route, Significant Feature
202226T,NY 32, Lake St,Quassaic Crk,2014,03/08/2019,No,Major Route
3219320,OLD EAST LAKE RD.,TRIB KEUKA LAKE,2014,11/24/2018,No,Significant Feature
2075352,278I278IX1M53024,AMTRAK/CSXT/P&W,2013,11/30/2018,No,Significant Feature
1047130,COUNTY ROAD 70,BEAR LAKE INLET,2013,05/09/2019,No,Significant Feature
2222160,WHITE MILLS ROAD,CSX TRANS/ AMTRAK,2013,05/10/2018,No,Significant Feature
5514182,87IX (NB),SEVEN LAKES DRIVE,2013,07/31/2019,No,Significant Feature
5514181,87IX (SB),SEVEN LAKES DRIVE,2013,07/31/2019,No,Significant Feature
2241390,ORCHARD BEACH RD,AMTRAK/CSXT/P&W,2012,11/06/2018,No,Significant Feature
1078820,Willis Ave Ramp to I-87 Northbound,Major Deegan Expressway (SB),2012,07/19/2018,No,Major Route
3362540,PAVEMENT ROAD,CSX TRANS/ AMTRAK,2012,09/26/2018,No,Significant Feature
3301790,TITUS  ROAD,MILL  BROOK,2012,05/01/2018,No,Major Route
1021430,30A 30A25021133,CSX TRANS/ AMTRAK,2012,09/10/2018,No,Significant Feature
1039692,190I190I54011034,CSXT/ATK,2012,09/18/2018,No,Significant Feature
1039691,190I190I54011034,CSXT/ATK,2012,09/18/2018,No,Significant Feature
1078962,59   59 85011122,CSX Transportation,2012,05/22/2018,No,Significant Feature
1006730,9N  9N15012179,HUDSON RIVER,2012,07/09/2018,No,Significant Feature
1011090,14A 14A66041159,KEUKA LAKE OUTLET,2012,06/27/2018,No,Significant Feature
3302980,OLD RAVENA ROAD,CSX TRANSPRTATION,2011,10/10/2019,No,Significant Feature
5521180,Route 185,LAKE CHAMPLAIN,2011,10/29/2019,No,Significant Feature
5513009,90IX,MOHAWK RIVER,2011,10/23/2018,No,Significant Feature
2227870,PONY FARM ROAD,MP 557.30  DELAWARE & HUDSON R.R.,2011,06/12/2019,No,Major Route
2228320,BROOKER HOLLOW ROAD,DELAWARE & HUDSON RAILROAD MP# 528.12,2011,06/12/2019,No,Significant Feature
1078961,59   59 85011122,CSX RR,2011,05/22/2018,No,Significant Feature
2270330,SHORT CLOVE ROAD,CSX TRANSPORTATIO,2011,08/04/2019,No,Significant Feature
1007050,9P  9P15011082,SARATOGA LAKE,2011,05/22/2019,No,Significant Feature
2271140,BLACK BROOK ROAD,LAKE NANCY INLET,2011,07/31/2019,No,Significant Feature
