County,Total Bridges,Good Condition,Poor Condition,Good Condition %,Poor Condition %
Erie,894,812,82,90.83,9.17
Westchester,770,702,68,91.17,8.83
Steuben,630,589,41,93.49,6.51
Monroe,609,554,55,90.97,9.03
Chautauqua,556,515,41,92.63,7.37
Queens,501,472,29,94.21,5.79
Oneida,488,435,53,89.14,10.86
Cattaraugus,482,452,30,93.78,6.22
Onondaga,470,422,48,89.79,10.21
Broome,464,446,18,96.12,3.88
Orange,458,391,67,85.37,14.63
Delaware,449,414,35,92.2,7.8
Allegany,403,368,35,91.32,8.68
Ulster,390,306,84,78.46,21.54
Suffolk,367,361,6,98.37,1.63
Sullivan,364,323,41,88.74,11.26
Albany,343,324,19,94.46,5.54
Dutchess,335,291,44,86.87,13.13
Nassau,324,321,3,99.07,0.93
St Lawrence,315,284,31,90.16,9.84
Bronx,315,285,30,90.48,9.52
Jefferson,295,255,40,86.44,13.56
Otsego,272,240,32,88.24,11.76
Rensselaer,267,231,36,86.52,13.48
Niagara,267,245,22,91.76,8.24
Chemung,256,229,27,89.45,10.55
Chenango,255,237,18,92.94,7.06
Essex,254,234,20,92.13,7.87
Rockland,246,229,17,93.09,6.91
New York,246,225,21,91.46,8.54
Herkimer,242,221,21,91.32,8.68
Columbia,242,196,46,80.99,19.01
Kings,242,220,22,90.91,9.09
Oswego,232,204,28,87.93,12.07
Greene,228,205,23,89.91,10.09
Saratoga,227,215,12,94.71,5.29
Tioga,217,198,19,91.24,8.76
Montgomery,203,183,20,90.15,9.85
Clinton,200,178,22,89.0,11.0
Tompkins,196,169,27,86.22,13.78
Cortland,193,162,31,83.94,16.06
Franklin,188,159,29,84.57,15.43
Washington,183,159,24,86.89,13.11
Ontario,179,165,14,92.18,7.82
Madison,174,152,22,87.36,12.64
Schoharie,173,156,17,90.17,9.83
Lewis,168,135,33,80.36,19.64
Richmond,166,163,3,98.19,1.81
Genesee,164,137,27,83.54,16.46
Livingston,163,156,7,95.71,4.29
Cayuga,147,121,26,82.31,17.69
Warren,138,119,19,86.23,13.77
Orleans,134,120,14,89.55,10.45
Wyoming,134,122,12,91.04,8.96
Schenectady,115,107,8,93.04,6.96
Putnam,103,91,12,88.35,11.65
Schuyler,100,93,7,93.0,7.0
Wayne,99,84,15,84.85,15.15
Fulton,96,81,15,84.38,15.62
Hamilton,87,72,15,82.76,17.24
Seneca,59,46,13,77.97,22.03
Yates,55,53,2,96.36,3.64
